Biologie 1. kolo 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obor;Druh;Jméno;Přijmení;Číslo jednací;Rodné číslo;2;3;25;40;64;94;114;118;128;138;164;190;192;204;236;241;248;249;250;255;273;276;289;290;331;354;390;395;402;406;409;421;441;486;529;547;575;576;580;602;623;638;643;652;716;768;775;816;826;831;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
LEK;11;Adam;Mikroskop;11;11;AX;AX;C;AB;BX;AX;BC;ABCX;A;ADX;ABCD;CX;A;BC;C;B;AX;AC;A;ACDX;BC;AX;AD;CX;CD;ABCX;ABD;B;D;B;BCX;A;C;D;A;AX;BX;ABCDX;B;BX;AX;ABD;CX;D;AX;CDX;ABX;CD;ABCDX;BDX;BDX;B;DX;BCD;B;B;ABX;AD;BD;DX;ABCX;AX;BX;C;BD;CX;DX;BX;AD;A;BX;AB;C;BX;AD;ABC;BC;A;BDX;ABDX;ABCDX;C;BX;DX;D;AX;BC;A;BX;ADX;DX;B;ABDX;CD;BD;ABCX;ABCDX;AX;ABCD;DX
LEK;11;Adéla;Periskopová;12;12;AC;AX;D;AX;C;CD;AC;ABCX;B;BD;ABDX;BCD;AB;A;D;C;B;BC;AC;A;C;AD;ABDX;CX;C;AC;ABD;ADX;CDX;ABD;BCX;A;A;AX;A;C;BC;CD;D;AC;AC;ABX;CX;AX;AX;AD;CD;CD;ABC;B;BC;A;DX;BC;AX;A;ABX;AD;DX;AD;AB;AX;BX;AC;A;D;DX;C;BCD;DX;AD;ABC;A;D;ABCD;ABD;BD;A;BDX;BD;BD;D;BC;B;BX;C;CD;A;AB;ADX;ABC;AB;ABDX;BC;BD;AC;ABCDX;D;BC;AC
LEK;11;Adam;Mikroskop;13;13;AX;AX;BX;AX;BX;AX;BX;ABCX;DX;ADX;AB;CX;BX;ABC;AX;AX;AD;AX;A;ACDX;AX;AX;AD;CX;AX;ABCX;ACX;A;C;AD;BCX;ACX;ACD;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;AD;ABX;CX;ABCDX;BDX;BDX;B;A;BCD;AX;CX;ABX;AD;DX;DX;ABCX;AX;BX;DX;BX;CX;DX;BX;ACX;DX;C;B;DX;BX;BCD;AB;BC;BX;B;AD;BD;AX;BX;DX;BX;AX;BDX;A;AB;ADX;DX;ABD;AB;CD;BD;B;D;AX;ABCX;DX
LEK;11;Adéla;Periskopová;14;14;AX;AX;C;B;BX;AX;BX;ABCD;A;A;CD;CX;C;ABCDX;AX;AX;AX;AX;ABX;ACDX;AX;AX;AD;CX;AX;ABCD;ACX;ADX;CDX;AD;BCX;A;ACX;C;A;AX;BX;ABCDX;BDX;BX;AX;B;CX;AC;AX;CDX;ABX;CD;ABCDX;BDX;BDX;ABX;A;B;AX;B;ABX;ABDX;DX;DX;C;C;BX;DX;BX;A;DX;ACD;ABC;A;A;AC;BD;D;ABD;BC;BC;A;BDX;AD;BD;AX;AB;B;BX;AX;D;A;BX;ADX;;ABD;ABDX;CD;BCDX;B;ABCDX;AX;B;C
LEK;11;Adam;Mikroskop;15;15;AX;AX;BX;AX;BX;AX;BC;ABCX;DX;ADX;D;CX;A;B;AX;D;D;AX;ABX;AC;AX;AX;BD;CX;AX;ABCD;ABC;AB;C;AD;BCX;A;CD;AX;BX;C;BC;ABCDX;BDX;BX;AX;ABX;CX;C;AX;CDX;ABX;CX;ABD;B;AB;ABX;DX;CD;B;A;ABX;ABDX;DX;DX;AB;AX;BX;DX;BX;CX;DX;BX;A;A;BX;B;DX;BX;ACD;CD;BCD;A;B;D;ABCDX;D;BX;DX;BX;AX;D;A;AB;ADX;DX;ABCDX;ABDX;CD;BCDX;ABCX;ABCDX;D;ABCD;DX
LEK;11;Adéla;Periskopová;16;16;AX;AX;D;AB;BX;AX;BX;ABCX;AB;ADX;BD;CX;AB;C;AX;;D;D;;AC;AX;AX;D;CX;C;C;AD;ADX;CDX;A;BCX;A;CD;D;BC;AX;BX;ABD;D;BX;AX;B;CX;AX;ABD;CDX;;CX;AC;AB;BDX;B;C;BC;ABC;;A;ABDX;AD;DX;AB;D;BX;DX;A;;DX;A;C;DX;BX;B;;A;B;ACX;BC;;;BD;D;;BX;A;D;D;D;A;AB;ADX;DX;AB;ABDX;CD;BCDX;AB;C;D;C;DX
LEK;11;Adam;Mikroskop;17;17;C;AX;BX;AX;BX;AX;BX;C;A;A;D;CX;D;D;B;B;D;C;A;AC;B;AX;AD;A;AX;AD;ABC;ADX;C;AD;BCX;A;AD;D;A;AX;C;AD;A;BX;AX;B;CX;AX;AX;BD;ABX;CX;ABC;B;BDX;B;C;D;C;CX;ABX;BD;DX;AD;BC;B;BX;DX;BX;D;DX;CD;BC;B;D;C;A;BX;ACD;A;AD;C;BDX;A;D;C;BX;C;A;AX;D;A;AB;B;B;A;B;D;C;B;D;AX;A;DX
LEK;11;Adéla;Periskopová;18;18;AX;AX;BX;AX;BX;AX;BC;ABCD;DX;ADX;ABDX;CX;BX;A;AX;AX;AX;AX;ABX;ACDX;AX;AD;ABDX;CX;AX;BCD;ACX;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;AX;BC;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;BDX;ABX;A;BCD;AX;CX;ABX;ABDX;DX;DX;AB;AX;BX;DX;BX;CX;DX;BX;C;DX;BX;C;B;BX;AD;BC;AD;A;BDX;AD;ABCDX;D;BC;DX;D;AX;BDX;A;AB;BD;DX;ABCDX;ABDX;C;BD;AB;BCD;D;ABCX;DX
LEK;11;Adam;Mikroskop;19;19;AX;AX;BX;AX;BX;B;BX;ABCX;DX;ADX;ABDX;CX;BX;C;AX;AX;AX;AX;ABC;ACDX;AX;AX;ABDX;CX;AX;ABCX;ABC;ADX;CDX;ABD;BCX;A;ACX;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ACD;CX;ABCDX;BDX;AC;ABX;C;BC;AX;CX;A;ABDX;DX;DX;B;B;BX;A;BX;CX;DX;AC;C;DX;BX;C;C;A;AD;ACX;BC;;A;ABDX;B;C;BX;A;BX;AX;D;ACX;BX;ADX;B;ABCDX;ABDX;ACDX;BCDX;ABCX;ABCDX;AX;ABCX;DX
LEK;11;Adéla;Periskopová;20;20;AX;AX;D;AX;BX;AX;BX;ABCX;DX;ABD;BD;CX;AB;B;AX;C;AX;AC;ABD;ACDX;AX;AX;ABDX;CX;AX;ABCX;AD;D;C;ABX;BCX;A;CD;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;C;AD;BCD;ABCDX;BDX;BDX;ABX;A;BCD;C;CX;A;ABDX;DX;DX;ABCX;AX;D;DX;BX;CX;DX;BX;AB;A;BX;C;DX;A;ACD;CD;A;BX;C;ABDX;BD;C;D;DX;BX;AX;BDX;A;BX;ADX;DX;ABCDX;ABDX;CD;BCDX;B;ABCDX;D;ABCD;DX
