Biologie 1. kolo 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obor;Druh;Jméno;Přijmení;Číslo jednací;Rodné číslo;2;3;25;40;64;94;114;118;128;138;164;190;192;204;236;241;248;249;250;255;273;276;289;290;331;354;390;395;402;406;409;421;441;486;529;547;575;576;580;602;623;638;643;652;716;768;775;816;826;831;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
LEK;11;Adam;Mikroskop;31;31;AB;AX;D;B;BX;AB;AB;A;DX;BD;CD;CX;BX;BD;AX;AX;AD;AX;D;AC;AB;AX;ABDX;A;CD;BD;ABC;AB;CDX;B;BCX;A;A;AX;BX;AX;BX;ABD;A;BX;AX;ABX;D;D;AX;CDX;ABX;B;ABC;BDX;BDX;B;C;AB;AX;CX;A;B;AD;DX;BC;AX;BD;DX;BX;CX;DX;BX;A;B;BX;C;DX;BX;D;ACD;ACD;BX;CD;BD;BCD;D;C;A;A;B;B;A;A;ADX;B;B;ABDX;CD;C;B;ABCDX;AX;A;C
LEK;11;Adéla;Periskopová;32;32;AC;AX;BX;AB;BX;AX;BX;ABCX;DX;BCD;C;CX;A;BCD;AX;AX;AX;BC;A;ACDX;AX;AX;AD;CX;AX;C;ABD;ADX;D;A;AC;A;ACD;AX;D;C;C;AD;D;BX;AX;ABX;CX;C;AX;C;ABCD;CD;ABCDX;B;D;A;DX;ABD;AX;B;A;ABDX;A;DX;AB;AX;BX;DX;C;CX;DX;BX;C;A;BX;B;DX;BD;D;ACD;ACD;AD;A;AD;BC;D;BC;DX;BX;C;BDX;A;BX;ADX;DX;ABCDX;ABDX;ACDX;ABCD;B;C;AX;AD;DX
LEK;11;Adam;Mikroskop;33;33;AX;AX;BC;AX;BX;AX;BX;ABCX;DX;ADX;D;CX;BX;A;AX;B;AX;C;A;AC;AX;AX;AD;CX;AX;AB;C;D;CDX;ABX;BCX;B;ABCD;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;BDX;B;C;BD;AX;B;A;ABDX;DX;DX;AB;B;BX;B;BX;CX;DX;BD;D;A;AD;C;C;D;CD;BC;A;A;CD;A;B;AX;BX;DX;BX;B;D;A;BX;A;B;A;AB;CD;BC;BC;BCD;D;A;AC
LEK;11;Adéla;Periskopová;34;34;BC;AX;D;B;BX;B;BX;AD;B;ADX;CD;BC;BX;AB;AB;AX;C;AC;ABX;A;C;ABCD;AD;D;D;A;ACX;A;AD;ACD;BCX;B;BD;C;BX;AX;;CD;D;D;AX;B;A;AX;AX;A;B;D;A;A;D;B;A;BD;C;CX;B;AD;DX;B;BD;CD;BX;C;BX;CX;DX;C;C;B;A;AX;B;A;D;C;BC;A;AB;A;BC;C;A;DX;D;AD;C;C;AC;BD;DX;CD;B;C;A;C;C;B;D;DX
LEK;11;Adam;Mikroskop;35;35;AC;AX;BX;D;BX;AC;AB;ABCX;BCD;BD;C;CX;BX;BCD;AX;D;AD;AX;B;C;D;AX;ABDX;CX;AX;ABD;ABCD;ADX;CDX;AD;BCX;ACX;ABCD;C;A;B;BC;AB;A;BX;AX;ABX;D;C;B;AB;ABD;ABCD;AC;B;BDX;ABX;A;BD;AX;CX;A;BD;AD;DX;AC;AX;C;DX;BD;B;DX;BX;C;A;D;AC;DX;BX;CD;C;ACX;ABD;B;ABDX;CD;D;AB;A;BX;C;AD;A;BX;ADX;B;AB;ABDX;CD;CD;B;AD;D;A;AC
LEK;11;Adéla;Periskopová;36;36;AX;AX;BX;AX;BX;AX;AB;ABCX;DX;ADX;BD;CX;AB;ABCDX;AX;AX;AX;AX;ABX;ACDX;AX;AX;ABDX;CX;AX;ABCX;ACX;ADX;CDX;AD;BCX;ACX;ACX;AX;BX;AX;C;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;D;ABCDX;BDX;D;ABX;DX;D;AX;A;ABX;AB;AD;DX;B;AX;BX;DX;BX;CX;DX;D;ABC;DX;BX;CD;DX;BX;A;ACX;BC;D;B;AD;BC;D;BX;DX;D;AX;D;ACX;BX;ADX;B;BCD;ABDX;ACDX;B;ABCX;BD;AX;ABCD;DX
LEK;11;Adam;Mikroskop;37;37;AX;AX;BX;B;BX;B;AB;AC;DX;A;ABDX;CX;BX;AB;AX;AX;AB;BC;ABX;AC;AX;AX;ABDX;AC;AX;ABCX;ABC;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;D;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CD;ABCDX;BDX;B;A;DX;ABD;AX;A;A;AD;DX;DX;AC;AX;D;DX;BX;D;DX;C;C;A;BX;C;DX;BX;A;A;BC;BX;B;BD;BD;D;BX;DX;BX;AX;D;ACX;BX;ADX;BD;AD;AD;AD;CD;A;BCD;AX;ABCX;DX
LEK;11;Adéla;Periskopová;38;38;AX;AX;D;AX;C;AX;BX;C;DX;ADX;ABDX;CX;BX;AB;AX;AX;D;AC;ABX;ACDX;AX;D;ABDX;CX;C;ABD;ACX;ADX;BCD;ABX;BD;ACX;ACD;AX;C;AX;BX;A;BDX;A;AX;ABX;CX;AX;AX;CDX;ACD;CX;ABCDX;BDX;BDX;ABX;DX;B;AX;CX;A;A;ABD;CD;AB;D;BX;DX;C;CX;DX;BX;B;A;BX;AX;DX;BC;ACX;ACX;BC;AC;B;A;D;C;AD;DX;D;AD;D;C;BX;ADX;B;AD;ABDX;AD;ABC;AB;BD;D;A;C
LEK;11;Adam;Mikroskop;39;39;AX;AX;C;AB;BX;AX;AB;BC;DX;AC;AD;A;AB;BCD;B;D;AX;AC;A;A;B;AX;D;A;C;ABCD;ABC;D;D;A;C;D;ACD;AX;BX;AX;A;ABCDX;D;AB;AX;ABC;CX;AX;AX;CDX;ABD;D;ABCDX;AB;BDX;B;DX;BD;D;D;ABX;AD;DX;AD;AB;C;C;CD;A;D;DX;C;D;A;C;C;C;A;C;C;AD;C;BDX;BD;D;B;BX;B;BX;AX;D;C;BX;A;DX;B;AB;C;D;B;ABCDX;AX;A;C
LEK;11;Adéla;Periskopová;40;40;AC;AX;D;ACD;C;AB;AB;ABCX;DX;ABC;D;AC;BC;A;AX;B;AX;AX;D;ACDX;AX;AX;AB;CX;AX;AC;AB;AB;D;AD;BCX;A;ACD;AX;BC;AX;AB;ABCDX;D;BX;AX;ABD;D;AX;C;CDX;BD;BC;ABCDX;BDX;D;A;DX;BD;C;B;ABX;ABDX;DX;DX;ABCX;C;BX;DX;BD;CX;DX;BX;ACD;C;BD;AX;A;C;ABC;ABC;ACX;ABD;BDX;AD;D;AX;C;B;BX;AC;D;A;AB;ADX;BD;ABCDX;ABDX;CD;AB;C;ABCDX;AX;ACD;DX
LEK;11;Adam;Mikroskop;41;41;AX;AX;BX;AX;BX;AX;BC;ABCX;DX;ADX;ABDX;B;D;ABCDX;AX;AX;AX;ABCD;AC;ACDX;AX;AX;AD;A;C;ABCD;ACX;ADX;CDX;ABC;BCX;A;ACX;C;BX;AX;BX;ABCDX;B;BX;AX;ABX;CX;B;AX;CDX;AD;ACD;AC;BDX;BDX;B;DX;BD;AX;CX;ABX;ABDX;DX;DX;ABCX;D;BX;C;BX;CX;DX;BX;C;B;C;C;DX;BX;AB;ACX;B;BX;C;AD;BCD;AX;BX;A;BX;AX;D;ACX;BX;ADX;DX;ABD;ABDX;CD;BCDX;ABCD;A;AX;ABCD;DX
LEK;11;Adéla;Periskopová;42;42;AX;AX;BX;AX;BX;AX;BC;ABCX;DX;BC;BD;CX;AB;ACD;AX;AX;AD;AX;A;BD;C;AX;ABDX;B;C;AC;ABC;ABD;D;AD;BCX;D;ACX;AX;BC;AX;BX;AD;BDX;A;AX;ABCD;CX;C;AX;C;B;D;ABC;BDX;D;A;A;CD;AX;A;BC;ABDX;AD;A;C;C;BX;B;CD;D;DX;C;C;B;D;BC;B;A;ACX;BC;BC;A;AC;ABDX;CD;AX;D;DX;D;CD;CD;A;BX;AB;B;AB;ABDX;CD;BD;AC;ABCDX;D;ACD;A
LEK;11;Adam;Mikroskop;43;43;AX;CD;D;BD;BC;AX;AD;AC;B;D;B;AB;D;AD;D;AX;AX;AX;B;A;BC;D;AB;BCD;C;D;ABC;AB;BD;ACD;ABC;A;ACD;B;BX;AX;C;ABCDX;BDX;D;D;ABD;D;C;AX;C;A;CX;A;AB;D;A;DX;C;C;CX;BD;ABDX;ACD;ABD;ABCX;C;BX;AC;AD;D;DX;D;ACX;DX;A;C;A;D;ABD;CD;C;A;BDX;ABC;BD;D;D;A;BX;AD;C;D;CD;C;BC;BC;BD;ACDX;BD;D;AB;D;ACD;AB
LEK;11;Adéla;Periskopová;44;44;AX;AX;BX;AX;BX;AX;BX;ABCX;DX;ADX;ABDX;CX;BX;ABCDX;AX;AX;AX;AC;ABX;ACDX;AX;AX;ABDX;CX;AX;ABCX;ACX;ADX;CDX;ABX;BCX;ACX;ACD;AX;BC;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;AD;CX;ABCDX;BDX;BDX;A;DX;ABCDX;AX;CX;A;ABDX;DX;DX;AB;C;BX;C;A;CX;DX;BX;A;DX;C;C;DX;BX;ACX;C;A;C;B;AD;ABC;D;BX;DX;D;AX;D;A;BX;A;DX;ABC;ABDX;ACDX;CD;ABCX;ABCDX;AX;ACD;DX
LEK;11;Adam;Mikroskop;45;45;AX;AX;BX;AX;BX;AX;BX;ABCX;DX;ADX;ABCD;CX;BX;ABCDX;AX;AX;AX;AX;C;ACDX;AX;AX;AD;CX;AX;ABCD;ACX;D;CDX;BD;BCX;A;A;AX;BX;C;BX;ABCDX;BDX;BX;AX;A;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;D;A;DX;D;C;CX;A;AD;DX;DX;B;C;;AC;BX;B;DX;C;ACX;DX;;;C;BX;C;ACX;BD;C;B;D;BCD;C;BX;;BX;D;BDX;A;BX;ADX;CD;ABD;A;CD;CD;B;BC;AX;AC;DX
LEK;11;Adéla;Periskopová;46;46;AX;AX;A;AX;BX;AB;BX;ABCD;C;D;C;CX;A;BD;AX;C;D;D;AD;A;AD;C;A;CX;CD;D;ABC;A;A;C;AC;B;BD;D;BX;B;BX;ABCDX;BDX;BX;AX;ABD;CX;AX;B;D;BD;D;AB;B;BDX;B;DX;AC;AX;CX;A;ABDX;DX;ABD;AC;D;BX;C;BX;A;DX;C;AD;CD;C;C;AD;D;ACX;CD;BC;A;BCD;A;C;AX;D;B;D;C;AB;A;BX;A;C;ABD;AB;CD;BCDX;A;ABCDX;AX;A;DX
LEK;11;Adam;Mikroskop;47;47;AX;AX;BX;AD;BX;AX;AC;ABCX;DX;ADX;ABDX;CX;AB;ABCDX;AX;B;CD;AX;A;AD;AX;AX;ABDX;CX;AX;ABCX;ACX;D;CDX;ABX;BCX;A;ACD;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABC;CX;AX;AX;CDX;ABX;D;ABCDX;BDX;D;A;A;D;AX;A;A;ABDX;DX;AD;C;AX;BX;DX;BX;D;DX;BX;B;DX;BX;C;DX;BX;ACX;BD;B;D;A;D;BD;C;BC;DX;D;AX;BDX;A;BX;ADX;BD;AB;ABDX;CD;BCDX;BC;BD;AX;AC;C
LEK;11;Adéla;Periskopová;48;48;AX;AX;BX;AX;BX;AX;BX;ABCX;B;ADX;ABDX;CD;A;ABCDX;AX;AX;AX;AC;ABX;ACDX;AX;AX;AD;A;AX;BC;ACX;ADX;CDX;AD;BCX;ACX;ACX;AX;BC;AX;BX;ABCDX;BDX;BX;AX;ABC;CD;C;AX;CDX;ABX;BC;ABCDX;BDX;BDX;ABX;DX;BC;AX;CX;A;ABDX;DX;DX;AB;AX;BX;CD;BD;D;DX;BX;CD;DX;A;AX;A;BX;A;ACX;ACD;BX;B;D;BCD;AX;BX;DX;BX;AX;BDX;ACX;BX;ADX;AD;AB;ABDX;C;ABC;AB;ABCDX;BD;ABCD;DX
LEK;11;Adam;Mikroskop;49;49;AC;AX;C;D;BX;AX;BX;ABCX;C;ABC;BC;CX;A;BC;AX;AX;ABD;D;ABX;ACDX;AX;AX;BD;CX;AX;D;ACX;ADX;CDX;ABX;BCX;A;ACX;AX;A;AX;AC;ABCDX;BDX;A;AX;C;CX;C;B;CDX;ABX;BC;ABC;BDX;B;A;DX;B;AX;CX;ABX;AD;ABD;DX;AB;AX;BX;AD;BX;CX;DX;BX;CD;DX;BX;B;DX;BX;ACD;ACX;ACX;AB;BDX;AD;BD;AX;BX;DX;C;C;BDX;ACX;BX;ADX;DX;ABD;ABDX;CD;CD;B;ABCDX;D;AB;DX
LEK;11;Adéla;Periskopová;50;50;AX;AX;A;AX;BX;AX;BX;ABCX;DX;ADX;ABDX;CX;BX;ABCDX;AX;AX;AX;AX;ABX;AC;AX;AX;AD;CX;C;ABCX;ACX;ADX;CDX;ABX;BCX;A;ACX;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;BDX;B;DX;CD;B;B;AC;ABDX;DX;AD;ABCX;AX;BX;DX;BX;D;DX;BX;ABC;B;BX;BC;B;A;ACX;A;BC;ABD;A;ABDX;BD;AX;BX;DX;BX;AX;D;A;BX;ADX;DX;AB;ABDX;CD;BCDX;AC;ABCDX;BD;ABCX;DX
LEK;11;Adam;Mikroskop;51;51;AX;AX;BX;AX;BX;AX;A;ABCX;DX;ADX;ABDX;D;D;AB;AX;AX;AX;AX;ABX;AC;AX;AX;AD;CX;AX;ABCX;ABC;ADX;CDX;D;C;C;ACX;AX;BX;AX;BX;AB;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;BDX;ABX;DX;BD;AX;CX;ABX;ABDX;DX;DX;AB;AX;BX;DX;BX;CX;DX;BX;A;DX;C;C;AC;A;A;C;ACX;D;C;A;BCD;C;BX;DX;BX;AX;D;A;BX;A;DX;ACD;ABDX;ACDX;BC;AB;A;B;ABCX;DX
LEK;11;Adéla;Periskopová;52;52;AX;AX;BX;AD;A;ABD;BX;ABCX;B;BD;ABCD;AC;AB;AB;AX;AX;AX;AX;D;AC;BD;AX;ABDX;CX;C;ABCX;ABC;ABD;C;ABD;AD;A;ACD;AX;D;AX;BX;ABD;BDX;BX;AX;ABX;CX;B;AX;C;BD;BCD;AB;B;A;D;C;BD;ABC;A;BC;AD;BD;AB;ABCX;D;AB;DX;AD;D;DX;BX;ABC;DX;A;ABD;B;AD;ACX;CD;ACD;C;C;ACD;BD;D;ACD;DX;D;AX;CD;C;AB;ABD;ABC;ABCDX;ABDX;C;ABC;CD;BCD;AX;ABCD;DX
LEK;11;Adam;Mikroskop;53;53;D;AX;BX;AX;BX;AX;BX;ABCX;B;ADX;ABCD;A;BX;ABCDX;AX;AX;AD;AX;ABX;ACDX;AX;AX;ABDX;A;AX;ABCX;ACX;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;AX;BX;AB;BDX;BX;AX;ABX;CX;C;AX;CDX;ABX;CX;ABCDX;BDX;BDX;ABX;C;BCD;AX;CX;A;ABDX;DX;DX;ABCX;B;BX;DX;AD;B;DX;BX;C;DX;D;BD;DX;BX;AB;ACD;BD;A;BDX;AD;BC;;BC;DX;D;C;BCD;A;BX;ADX;DX;BD;ABDX;CD;BCDX;B;A;AX;ACD;DX
LEK;11;Adéla;Periskopová;54;54;C;AX;D;B;BX;AX;BX;ABCX;C;CD;D;CX;D;B;AX;AX;BC;AC;BD;AC;B;AX;AD;CX;C;CD;ABC;B;CDX;ABD;B;A;ACD;D;A;AX;BX;ABCDX;D;A;AX;ABD;CX;AX;AX;D;BCD;D;ABC;A;BDX;B;DX;BD;AX;B;ABX;ABDX;CD;DX;BC;C;BX;C;BX;CX;DX;BX;D;A;D;AX;DX;A;ACX;C;BD;A;BDX;D;B;D;C;DX;C;C;AD;A;BX;ADX;B;AB;ABDX;CD;BD;BC;ABD;D;A;C
LEK;11;Adam;Mikroskop;55;55;AX;AX;D;B;CD;AX;ACD;BC;B;BD;A;CX;BX;BD;D;B;D;AX;B;AD;AX;C;A;CX;D;;ABC;A;D;BCD;C;B;BCD;C;C;AX;C;ABD;D;C;AB;B;CX;C;AX;CDX;D;BD;ABCDX;BDX;C;D;A;BCD;AX;CX;A;BD;DX;AD;A;B;BX;DX;BX;CX;BCD;BX;CD;C;D;AX;A;A;ACX;BC;B;BX;C;AD;D;B;A;DX;BX;AX;AC;D;BX;C;A;BC;AD;D;C;B;AB;AX;AD;B
LEK;11;Adéla;Periskopová;56;56;AB;AX;BX;B;BX;AB;BC;AB;B;A;C;CX;BX;B;B;B;AX;D;D;CD;B;D;A;CX;AX;ACD;ABC;A;A;AD;A;A;ACD;C;BX;AX;C;ABCDX;BDX;BX;AX;ABD;CX;C;B;BC;BD;CX;ABCDX;B;B;B;A;D;C;CX;A;ABDX;AD;BD;BC;B;BX;BD;BD;CX;DX;BX;D;C;D;AX;DX;A;ACX;AB;BD;AD;BDX;BD;BD;AX;BX;DX;D;AX;D;D;AB;ABCD;B;AC;ABDX;BCD;BCDX;AB;ABCDX;D;AD;AC
LEK;11;Adam;Mikroskop;57;57;B;B;C;D;BX;D;BX;D;DX;D;A;D;C;B;D;C;C;B;C;D;D;C;B;CX;B;D;ABC;D;B;A;A;D;A;AX;A;D;D;A;BDX;C;ABD;D;CX;D;AX;D;A;CX;A;A;C;C;DX;D;B;B;;D;B;DX;C;D;BX;A;BX;D;A;AD;C;C;D;C;A;D;C;B;B;A;A;A;D;D;A;B;D;D;C;D;C;BD;C;C;C;D;A;D;A;AX;B;C
LEK;11;Adéla;Periskopová;58;58;AX;AX;C;AX;A;AX;BX;ABCX;DX;D;ABDX;CX;BX;AB;AX;AX;AX;BC;ABX;AC;AX;AX;AD;A;AX;ABCX;ACX;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;AX;BC;ABCDX;BDX;BX;AX;B;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;AD;B;A;CD;ABC;A;ABX;ABDX;DX;DX;ABCD;B;D;ABCD;BX;CX;DX;BX;A;DX;BD;B;BC;A;ACX;ABCD;A;C;A;D;D;D;BX;DX;C;ABCD;D;A;BD;D;C;AB;AD;C;BCDX;B;D;AX;ABCX;DX
LEK;11;Adam;Mikroskop;59;59;AX;AX;BX;B;BX;B;BC;ABCX;DX;ADX;ABDX;CX;BX;ABCDX;AX;AX;AX;B;ABX;ACDX;AX;AX;ABDX;CX;AX;BCD;ACX;ADX;CDX;B;BCX;ACX;ACX;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABD;CX;ABCDX;BDX;BDX;ABX;C;D;AX;CX;A;AD;DX;DX;BC;C;D;DX;BX;CX;DX;A;BC;C;BX;BC;B;D;ACD;ACX;BCD;A;B;ABDX;BC;D;BX;DX;D;AX;D;C;BX;ACD;DX;A;ABDX;D;BCDX;ABCX;ACD;AX;ABCX;DX
LEK;11;Adéla;Periskopová;60;60;AX;AC;D;AD;BD;B;BC;BC;A;BCD;CD;BC;C;BC;C;AX;AC;BC;B;ABCD;CD;AX;AD;CX;CD;ABCX;ABC;ADX;CDX;ABX;BD;A;ABCD;C;BC;AX;BD;BD;BDX;AC;AC;ABD;A;B;AX;A;CD;BCD;ABC;ABD;A;A;A;BD;AX;B;ABX;ABDX;AD;AD;AB;B;D;C;A;D;DX;ABD;ACX;A;BX;AB;DX;D;ACD;ABC;BD;AD;AC;ABDX;BC;C;BC;DX;BX;D;C;ACX;CD;BCD;BCD;ABC;BD;ABCD;ABCD;B;C;AX;ABD;CD
LEK;11;Adam;Mikroskop;61;61;AC;AX;D;D;BX;AB;BX;ABCX;DX;ADX;BCD;CX;BX;ABCDX;AX;AX;AX;AX;A;ACDX;AX;AX;ABDX;CX;AX;ABCX;ACX;ADX;CDX;ABX;BCX;A;ACD;AX;BX;AX;BC;ABCDX;BDX;BX;AX;ABD;CX;D;AX;CDX;;CD;ABCDX;BDX;BDX;B;DX;BC;C;CX;ABX;ABDX;AD;DX;ABCD;AX;BX;DX;BX;CX;DX;AD;BC;DX;BX;AX;DX;BX;ACX;ACX;BCD;A;BDX;ABDX;BD;;BX;B;;AX;BDX;A;BX;ADX;AD;ABCDX;ABDX;ACDX;BCDX;AB;ABCDX;D;ACD;DX
LEK;11;Adéla;Periskopová;62;62;AX;AX;BX;AX;BX;AX;BX;ABCX;DX;ADX;ABDX;CX;BX;ABCDX;AX;AX;AD;ACD;ABC;AC;AX;AX;ABDX;CX;AX;ABCD;ACX;ADX;CDX;AD;BCX;ACX;ACX;AX;BX;AX;C;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;BDX;ABX;C;D;D;B;AD;BD;DX;BD;BC;AX;A;C;BX;CX;DX;BX;ACX;DX;D;D;C;BX;AB;C;BD;C;D;AD;BD;D;A;B;BX;AX;D;A;AB;A;AC;ABC;ABDX;D;BCDX;B;ABD;AX;ABCX;A
LEK;11;Adam;Mikroskop;63;63;AB;AX;BD;AD;BX;AX;BX;ABCX;DX;AC;BD;B;BX;ABCDX;AX;B;AX;C;A;ACDX;AX;AX;C;CX;AX;ABCD;ACX;ADX;CDX;ACD;BCX;D;ACD;B;C;C;C;ABCDX;BDX;BX;AX;B;CX;AX;AX;CDX;ABX;BC;ABCDX;ABD;A;ABC;DX;BD;AX;CX;ABX;BD;AD;AD;ABCX;AX;C;AC;BD;D;DX;C;ABC;DX;D;ACD;C;BX;ABCD;ACX;A;BX;BDX;A;BCD;C;ACD;DX;D;C;B;ACX;BX;ADX;DX;CD;ABDX;ACDX;CD;AB;ABC;BD;ABCD;AC
LEK;11;Adéla;Periskopová;64;64;AX;AX;D;AX;BX;AX;BX;ABD;DX;ADX;BD;CX;A;ABCDX;AX;AX;C;AC;ABX;ACDX;AX;AX;AD;CX;AX;ABCX;ABC;AB;CDX;AD;BCX;ACX;ACD;C;A;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;B;ABCDX;BDX;B;ABX;B;ABC;AX;D;A;AD;DX;DX;B;B;BX;C;BX;CX;DX;BX;C;A;BX;C;DX;D;A;BCD;BCD;D;BC;B;B;D;BX;DX;BX;C;BDX;A;A;D;B;AB;D;ACDX;BCDX;A;ABCDX;D;ACD;DX
LEK;11;Adam;Mikroskop;65;65;AX;AX;D;B;BX;AX;BX;AC;B;BCD;C;CD;BX;BCD;AX;C;D;AB;C;A;AX;AX;ABDX;CX;AX;ABD;ABD;ADX;C;C;AC;A;ACX;C;BC;AX;BX;AD;B;AB;AX;ABX;CX;AX;AX;C;B;CX;ABC;B;AB;B;C;BCD;AX;CX;B;ABDX;AD;AD;ABCX;D;BX;C;BX;CX;DX;A;BC;DX;BX;AC;DX;D;BD;ACD;B;BX;B;AD;B;AX;BX;DX;BC;C;A;A;BX;AB;DX;BD;ABDX;C;BCDX;D;ABCDX;D;ACD;C
LEK;11;Adéla;Periskopová;66;66;AX;AX;BX;B;BX;AX;AB;AB;DX;ADX;AB;D;A;BCD;AX;AX;AX;AC;A;ACDX;AX;AX;AD;CX;AX;ABCX;ABC;ADX;CDX;A;BCX;D;ACX;AX;BX;AX;BCD;ABCDX;D;BX;AX;ABD;CX;AX;AX;BC;AC;CX;ABCDX;BDX;D;ABX;DX;BC;AX;B;ABX;BD;BD;DX;ABCX;AX;A;DX;BX;CX;DX;BX;ACD;DX;C;D;DX;BX;A;ABCD;A;A;AC;D;BD;D;BX;DX;BX;C;D;ACX;BX;ADX;B;ABD;AD;CD;BCDX;B;ABCDX;AX;ABD;DX
LEK;11;Adam;Mikroskop;67;67;C;AX;D;B;D;C;BX;C;B;C;A;A;D;D;C;B;D;AX;A;D;C;AX;B;CX;AX;D;A;D;C;A;C;A;CD;C;BX;D;D;BC;C;BX;AX;B;D;AX;AX;A;B;CX;B;D;B;B;C;B;C;CX;B;D;A;BD;A;C;C;DX;D;B;DX;BX;C;C;D;B;C;C;C;C;B;BX;B;D;D;C;D;DX;D;AX;A;A;D;D;C;B;A;D;A;B;B;D;A;C
LEK;11;Adéla;Periskopová;68;68;AX;AX;C;AX;BX;AX;BX;ABCX;DX;ADX;ABDX;CX;BX;ABCDX;AX;AX;AD;AC;BC;ACDX;AX;AX;ABDX;CX;AX;ABCX;ACX;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;CDX;ABX;CX;ABCDX;BDX;D;ABX;A;ABCDX;AX;CX;ABX;ABDX;DX;DX;BC;AX;BX;DX;AB;CX;DX;BX;C;DX;AC;C;C;BX;A;C;BC;D;BDX;AD;ABC;D;BX;DX;BX;AX;D;A;BX;ADX;DX;ABC;ABDX;CD;BD;B;ABCDX;D;C;DX
LEK;11;Adam;Mikroskop;69;69;AX;AX;C;AX;BX;AX;BX;ABCX;DX;BD;ABDX;CX;ABC;ABCDX;AX;AX;AX;BC;ABX;ACDX;AX;AX;ABDX;CX;AX;ABCD;ACX;ADX;CDX;ABD;BCX;ACX;ACX;AX;BX;AX;BX;ABCDX;BDX;BX;AX;ABX;CX;AX;AX;ACD;ABX;CX;ABCDX;BDX;BDX;ABX;DX;BCD;B;CX;ABX;ABDX;DX;DX;ABCX;AX;BX;DX;BX;CX;C;C;ABC;DX;BX;B;B;BX;ACD;BC;BC;A;AC;AD;BCD;AX;BX;DX;BX;AX;BDX;A;BX;ADX;DX;ABD;ABDX;CD;BCDX;AB;ABCDX;AX;ABCX;DX
LEK;11;Adéla;Periskopová;70;70;AX;AX;BX;AB;BX;AX;BX;ABCX;DX;B;AD;CX;C;CD;AX;AX;AX;C;ABX;AC;AX;AX;AD;CX;AX;AB;ACX;ADX;CDX;ABX;BCX;ACX;ACX;AX;BX;AX;BC;ABCDX;BDX;BX;AX;ABD;CX;AX;AX;CDX;ABD;BC;ABCDX;BDX;BDX;B;DX;BD;AX;CX;ABX;AB;DX;DX;ABCX;AX;BX;C;BX;CX;DX;C;ACX;DX;C;C;B;BX;A;A;ACX;D;C;AD;D;D;BX;DX;BX;AX;BDX;A;BX;ADX;DX;ABCDX;BD;CD;BCDX;BD;C;AX;AD;DX
LEK;11;Adam;Mikroskop;71;71;AX;AX;D;B;BX;AX;BX;BC;AB;BD;ABDX;CX;A;B;AX;;AX;C;A;AD;B;AX;BD;CX;CD;A;A;AC;D;AD;BCX;A;CD;D;A;AX;BX;ABCDX;BDX;C;AX;ABD;CX;AX;AX;D;BC;CX;ABCDX;BDX;AB;A;DX;CD;AX;CX;ABX;ABDX;DX;ABD;AB;AX;BX;DX;BX;CX;DX;D;B;DX;BX;C;A;A;BC;C;CD;A;BDX;D;BC;D;BX;DX;C;AX;C;A;BX;CD;B;AB;AD;CD;D;B;ABCDX;AX;AD;DX
